Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2
5000.0,1.0,1.0,1.0,5000.0,1.0,8760.0,1.0,1,44460,2120
,2.0,0.9,0.04,4500.0,,,,2,43416,2072
,3.0,0.55,0.024,2750.0,,,,3,42953,2058
,4.0,0.2,0.003,1000.0,,,,4,42729,2057
,,,,,,,,5,42849,2069
,,,,,,,,6,43763,2118
,,,,,,,,7,45641,2225
,,,,,,,,8,45986,2231
,,,,,,,,9,47156,2289
,,,,,,,,10,48712,2360
,,,,,,,,11,49771,2412
,,,,,,,,12,49969,2409
,,,,,,,,13,50644,2442
,,,,,,,,14,50047,2413
,,,,,,,,15,49456,2377
,,,,,,,,16,49379,2371
,,,,,,,,17,50052,2408
,,,,,,,,18,52350,2517
,,,,,,,,19,57670,2766
,,,,,,,,20,58471,2806
,,,,,,,,21,57714,2766
,,,,,,,,22,56652,2714
,,,,,,,,23,54565,2616
,,,,,,,,24,51716,2482
,,,,,,,,25,47956,2287
,,,,,,,,26,47382,2268
,,,,,,,,27,47581,2285
,,,,,,,,28,48501,2338
,,,,,,,,29,50059,2420
,,,,,,,,30,53271,2581
,,,,,,,,31,58401,2856
,,,,,,,,32,60441,2940
,,,,,,,,33,60521,2929
,,,,,,,,34,60057,2886
,,,,,,,,35,59667,2870
,,,,,,,,36,58204,2786
,,,,,,,,37,57085,2729
,,,,,,,,38,55227,2633
,,,,,,,,39,54132,2579
,,,,,,,,40,55036,2632
,,,,,,,,41,57409,2756
,,,,,,,,42,62931,3035
,,,,,,,,43,65838,3151
,,,,,,,,44,63163,2999
,,,,,,,,45,62204,2948
,,,,,,,,46,60770,2879
,,,,,,,,47,58065,2760
,,,,,,,,48,55861,2670
,,,,,,,,49,54882,2646
,,,,,,,,50,54903,2662
,,,,,,,,51,55537,2702
,,,,,,,,52,56923,2779
,,,,,,,,53,59340,2903
,,,,,,,,54,64847,3179
,,,,,,,,55,74727,3713
,,,,,,,,56,75846,3736
,,,,,,,,57,72194,3526
,,,,,,,,58,67656,3269
,,,,,,,,59,64462,3109
,,,,,,,,60,61406,2938
,,,,,,,,61,59448,2836
,,,,,,,,62,57496,2733
,,,,,,,,63,56315,2672
